root,suffixes
иерихон_ADJF,['ск']
да_INFN,['ть']
стат_NOUN,"['ость', 'ик', 'к', 'аци', 'ок', 'ус', 'ут']"
пят_NOUN,"['ок', 'ик', 'ин', 'ник', 'ниц', 'к', 'ак', 'ек']"
изол_NOUN,"['яци', 'ист', 'изм', 'ятор', 'ост', 'к', 'и']"
угол_NOUN,"['ек', 'ок', 'к', 'ик']"
камбий_NOUN,[]
воодушев_INFN,['ть']
саам_ADJF,['ск']
ветер_NOUN,"['ок', 'ек']"
лат_NOUN,"['ник', 'ни', 'к']"
изнур_NOUN,"['ени', 'ость']"
балет_NOUN,"['мейстер', 'к']"
маз_NOUN,"['ни', 'к', 'чик', 'ниц', 'ок', 'н', 'ик', 'ил', 'чиц', 'нь']"
чес_PRTF,['нн']
сейф_NOUN,[]
вал_PRTF,"['енн', 'вш', 'нн', 'ивш', 'явш', 'ящ', 'ющ', 'янн']"
обиж_INFN,['ть']
суш_INFN,['ть']
лог_NOUN,"['и', 'изм', 'ат', 'ик', 'я', 'ость', 'ист', 'аци', 'ем', 'ищ', 'ов', 'ост']"
страд_NOUN,"['ни', 'ник']"
рой_ADJF,['н']
плах_NOUN,[]
женьшень_NOUN,[]
граф_ADJF,"['ическ', 'ск', 'ичн', 'н', 'еск']"
строй_NOUN,"['ка', 'ств', 'щик', 'к', 'ком', 'о', 'щиц']"
гн_PRTF,"['енн', 'нн', 'авш', 'анн', 'ивш']"
леч_INFN,['ть']
нос_NOUN,"['ость', 'к', 'чиц', 'ец', 'ик', 'ишк', 'тель', 'чик', 'ок', 'ух', 'иц', 'арь', 'ств', 'ищ', 'ач', 'ниц', 'щик', 'ител', 'ост']"
бряк_INFN,['ть']
шкод_INFN,['ть']
раввин_NOUN,[]
гон_ADJF,"['н', 'ющ', 'ч', 'им', 'альн', 'ическ', 'к', 'ист']"
дох_NOUN,"['як', 'ин', 'ени', 'ост', 'ител', 'ниц']"
верещ_INFN,['ть']
огород_NOUN,"['ниц', 'еств', 'ий', 'ник']"
ропщ_PRTF,['ущ']
ерз_INFN,['ть']
добр_ADJF,"['еньк', 'н', 'ом']"
паперть_NOUN,[]
патрон_ADJF,['н']
колос_NOUN,"['ек', 'ов', 'ок']"
рецепт_NOUN,"['ор', 'ур', 'ар']"
езж_INFN,"['ть', 'ив']"
глох_INFN,"['ть', 'н']"
строж_ADJF,"['айш', 'ивш']"
режисс_ADJF,['ск']
мельч_INFN,['ть']
коррект_INFN,['ть']
заслуж_INFN,['ть']
гидр_NOUN,"['ни', 'ид', 'ат', 'ант', 'ит', 'аци', 'оид']"
постоянн_NOUN,['ость']
лиц_ADJF,"['о', 'ев', 'тельн', 'н']"
маз_INFN,"['ть', 'ыв', 'ан', 'н']"
звер_ADJF,"['л', 'ск', 'ин', 'ов']"
один_ADJS,"['ехонек', 'ешенек']"
дефис_NOUN,[]
денежь_NOUN,[]
флуоресц_INFN,['ть']
вож_NOUN,"['ат', 'ак', 'ни', 'ани']"
указ_NOUN,"['тель', 'ни', 'чик', 'чиц']"
социал_NOUN,"['изм', 'к', 'аци', 'ист']"
каупер_NOUN,[]
информ_ADJF,"['онн', 'ивн', 'вн', 'анн']"
форзац_NOUN,[]
фаг_NOUN,['и']
альтерн_ADJF,['онн']
невр_NOUN,"['изм', 'он', 'ит', 'оз', 'ин', 'ом', 'аци']"
вязь_NOUN,[]
вещ_NOUN,"['ни', 'унь', 'ниц', 'ени', 'изм', 'тель', 'иц', 'к', 'еств', 'ун', 'ост', 'ани']"
бактери_NOUN,"['и', 'оз']"
монгол_NOUN,"['к', 'ист', 'ик']"
багр_INFN,"['ть', 'ов']"
каляк_NOUN,['нь']
верт_NOUN,"['к', 'ыш', 'унь', 'ни', 'ун', 'ек', 'ок', 'ячк', 'ость', 'чиц', 'ень', 'ани', 'ост', 'а', 'аци']"
слаб_INFN,['ть']
кош_NOUN,"['ник', 'ниц', 'к', 'ени', 'ев']"
диакритич_ADJF,['еск']
се_NOUN,"['ни', 'в', 'ость', 'ок', 'тель', 'к', 'н', 'ец', 'щик', 'и']"
образ_ADJF,"['н', 'ые', 'им', 'ов']"
гитар_ADJF,['н']
будн_ADVB,"['ишн', 'ичн']"
губ_NOUN,"['тель', 'ц', 'ат', 'ниц', 'ан', 'к', 'ец', 'ств']"
плечь_NOUN,[]
пуп_ADJF,['н']
черп_INFN,['ть']
бран_INFN,['ть']
дель_NOUN,"['ств', 'ц', 'еств', 'ниц', 'щин', 'нь', 'ник', 'щик', 'щиц', 'ость', 'н', 'ост']"
дроб_ADJF,"['тельн', 'н', 'ов', 'ящ']"
калифорн_ADJF,['ск']
иждив_ADJF,"['еск', 'ск']"
неглиж_INFN,['ть']
корчм_ADJF,['ск']
концерт_NOUN,"['мейстер', 'к', 'ант', 'ани']"
краб_NOUN,[]
пластик_NOUN,[]
госпитал_PRTF,['нн']
сигналь_ADJF,['н']
холощ_NOUN,['ени']
злак_NOUN,[]
ион_NOUN,"['аци', 'ит', 'атор', 'ни']"
реликви_NOUN,[]
сребр_NOUN,"['ниц', 'ик', 'ник']"
рэкет_NOUN,['ир']
круг_ADVB,"['ом', 'ов']"
город_ADJF,"['н', 'ат', 'ск']"
правл_NOUN,"['ени', 'ость', 'ец', 'ост']"
звуч_NOUN,"['и', 'ени', 'ость', 'ни', 'ани', 'ост']"
стар_NOUN,"['енци', 'ок', 'ушк', 'тель', 'ан', 'онк', 'ин', 'к', 'ик', 'иц', 'ец', 'ух', 'ени', 'ишк', 'ш', 'ост', 'ани', 'ател', 'ц']"
долг_ADJF,"['оват', 'ух', 'ше', 'н', 'ат']"
ектень_NOUN,[]
клеп_INFN,['ть']
эргат_NOUN,['ив']
круч_PRTF,['енн']
вал_INFN,"['ть', 'ив']"
окул_INFN,['ть']
индустри_ADJF,"['альн', 'нн']"
капельдинер_NOUN,[]
перч_INFN,['ть']
друж_INFN,['ть']
вар_NOUN,"['ни', 'н', 'к', 'щиц', 'ени', 'ик', 'ниц', 'щик', 'енок', 'иц', 'ень', 'ок', 'ец', 'их', 'ух', 'ев', 'ость', 'чик', 'ешк', 'я']"
бугр_INFN,['ть']
щелк_INFN,['ть']
эксплуат_ADJF,"['ск', 'онн']"
бай_NOUN,"['ств', 'к']"
пик_PRTF,"['нн', 'ющ']"
царап_INFN,['ть']
планет_ADJF,['н']
подоб_ADJF,['н']
плюс_PRTF,"['нн', 'т']"
механ_ADJF,"['ск', 'еск', 'нн', 'ичн']"
рабат_ADJF,"['ющ', 'ем', 'ающ']"
сенсуал_NOUN,"['изм', 'ист', 'к']"
дел_NOUN,"['к', 'тель', 'иц', 'ник', 'ени', 'ни', 'ниц', 'ишк', 'ец', 'и', 'ом', 'ость', 'еств', 'л', 'им', 'яг', 'еж', 'ян', 'ушк', 'ост', 'ани']"
спектив_ADJF,['н']
игр_INFN,"['ть', 'ыв']"
чист_INFN,['ть']
скваж_NOUN,"['ин', 'ость', 'к']"
верст_NOUN,"['к', 'ни', 'щиц', 'щик', 'ак', 'ок']"
серд_ADJF,['н']
кристалл_INFN,['ть']
пак_ADJF,"['н', 'ов']"
кропл_INFN,['ть']
пил_NOUN,"['ок', 'ник', 'ни', 'к', 'овк', 'ени', 'щик', 'и']"
брюх_ADJF,"['л', 'аст', 'ат']"
воскреш_PRTF,['енн']
погод_NOUN,"['к', 'иц']"
чет_ADJF,"['ерт', 'н', 'лив', 'ист', 'як', 'еск', 'ов']"
бирж_ADJF,['ев']
перцип_PRTF,['нн']
упраздн_INFN,['ть']
пек_INFN,['ть']
год_ADJF,"['ов', 'ичн', 'н', 'л', 'ящ', 'ал', 'ующ']"
пах_ADJF,"['ов', 'н', 'уч', 'нн']"
колб_NOUN,['очк']
земель_ADJF,['н']
сигнал_NOUN,"['аци', 'ист', 'атор']"
тепл_NOUN,"['ость', 'тель', 'ушк', 'ени', 'ец', 'як', 'иц', 'от', 'ни', 'ынь', 'ост']"
туш_NOUN,"['ник', 'тель', 'к', 'ни', 'ени', 'ист', 'ост']"
мк_INFN,['ть']
троп_NOUN,"['ость', 'инк', 'изм', 'и', 'ик', 'очк', 'ин', 'к']"
пад_ADJF,"['к', 'ющ', 'ш', 'уч', 'н', 'еск']"
масс_ADJF,"['ов', 'н', 'ивн']"
анем_NOUN,['он']
зодиак_ADJF,['альн']
иерей_ADJF,['ск']
каландр_INFN,['ть']
стипенди_NOUN,"['ат', 'к']"
вруч_PRTF,['енн']
стой_ADJF,"['к', 'н', 'чив', 'ов']"
безображ_NOUN,"['ни', 'ени']"
мст_INFN,['ть']
пущ_ADVB,[]
хозяй_INFN,"['ть', 'нич', 'ов']"
варвар_ADJF,['ск']
трансформ_PRTF,['нн']
агар_NOUN,"['к', 'ин']"
печат_ADJF,"['ющ', 'н', 'нн']"
обещ_INFN,['ть']
тавот_NOUN,['ниц']
выс_INFN,['ть']
ту_ADJF,['ев']
ум_ADJF,"['н', 'еньк', 'тельн', 'енн']"
греб_PRTF,"['ш', 'енн', 'ий', 'ущ']"
слащ_PRTF,['енн']
ход_ADJF,"['н', 'ящ', 'им', 'чив', 'ов', 'ий', 'к', 'ск', 'нн', 'ческ', 'тельн', 'яч', 'еск']"
наш_NOUN,"['ни', 'ость']"
воплот_INFN,['ть']
центр_INFN,"['ть', 'ов']"
казн_NOUN,"['ачей', 'ш', 'ств']"
степен_PRTF,['енн']
пар_INFN,"['ть', 'ыв', 'ив']"
жил_ADJF,"['ов', 'ист', 'оват', 'н']"
спас_INFN,"['ть', 'ти']"
шв_ADJF,['н']
шаг_INFN,['ть']
брач_ADJF,"['н', 'ащ']"
сид_ADJF,"['яч', 'чив', 'ящ', 'еск']"
бубон_NOUN,[]
дистанци_NOUN,[]
лез_INFN,"['ть', 'ти']"
руг_INFN,['ть']
тес_INFN,['ть']
аммон_NOUN,"['ак', 'аци', 'ий', 'ал']"
лог_ADJF,"['ическ', 'еск', 'ичн', 'н', 'ов']"
ступ_NOUN,"['к', 'ость', 'еств', 'ниц', 'н', 'ок', 'ек', 'ник', 'ев', 'ост', 'ен', 'иц']"
мост_INFN,['ть']
ковш_ADJF,['ов']
лист_ADJF,"['н', 'енн', 'ов', 'ые', 'ист', 'нн']"
люб_INFN,"['ть', 'ов', 'нич']"
подвиж_ADJF,['еск']
приют_NOUN,[]
пик_NOUN,"['к', 'ни', 'щик']"
мыл_INFN,['ть']
пин_INFN,['ть']
сфер_NOUN,"['оид', 'и', 'ост']"
чересчур_ADVB,[]
тираж_INFN,['ть']
сеньор_NOUN,"['ит', 'ат']"
нов_ADJF,"['н', 'ешеньк', 'ск', 'ехоньк', 'тельн', 'ейш', 'онн']"
сейсм_ADJF,"['ическ', 'еск', 'н']"
брюзг_ADJF,"['лив', 'ш', 'л']"
истреб_ADJF,"['им', 'тельн']"
пелен_INFN,['ть']
сульф_NOUN,"['ат', 'ит', 'аци', 'ид', 'ни', 'ин']"
лущ_NOUN,"['ни', 'ени', 'ник']"
цивил_ADJF,"['ск', 'онн']"
прост_ADJF,"['тельн', 'л', 'еньк', 'ейш', 'ецк', 'ат']"
реч_ADJF,"['ив', 'н', 'енн', 'ев', 'ист']"
шир_INFN,['ть']
печал_INFN,['ть']
гиб_ADJF,"['н', 'ш', 'к', 'ист', 'ем']"
фанат_NOUN,"['изм', 'к']"
коагул_NOUN,"['янт', 'ят', 'ятор', 'яци', 'ни']"
грыз_INFN,['ть']
шлеп_INFN,['ть']
стрек_INFN,['ть']
ос_ADJF,"['н', 'ев', 'ин']"
мат_NOUN,"['ни', 'к', 'ник', 'ушк', 'ист', 'ств', 'щин', 'ер', 'щик', 'ани']"
марин_PRTF,['нн']
медуз_NOUN,['и']
тяж_ADVB,"['у', 'ел']"
гуд_VERB,[]
канюч_INFN,['ть']
хлоп_PRTF,"['нн', 'т', 'авш', 'анн', 'увш', 'ающ', 'ущ']"
кро_ADJF,"['ен', 'н']"
курган_NOUN,['чик']
клякс_NOUN,[]
жен_ADJF,"['ат', 'ск', 'ин', 'енн']"
двор_NOUN,"['их', 'ств', 'ик', 'ец', 'к', 'ин', 'ищ', 'ок', 'яг', 'ишк', 'ник', 'чик', 'н', 'ени', 'ян']"
ник_PRTF,"['ий', 'вш', 'ш', 'авш', 'ающ', 'увш']"
чес_INFN,"['ть', 'ыв']"
лоб_NOUN,"['ник', 'и', 'ик', 'чик', 'ок', 'ость']"
кашемир_NOUN,[]
азям_VERB,['ник']
журавл_NOUN,"['их', 'енок']"
говор_PRTF,"['енн', 'ивш']"
предприня_PRTF,['т']
крещ_INFN,['ть']
би_PRTF,"['т', 'вш']"
дешев_INFN,['ть']
сып_NOUN,"['к', 'ец', 'ни', 'няк', 'ниц', 'ость', 'есть', 'ани']"
классич_ADJF,['еск']
влад_INFN,['ть']
аморт_NOUN,['аци']
ненавист_NOUN,"['еств', 'ниц', 'ник']"
лент_NOUN,"['очк', 'ик']"
полз_ADJF,"['ев', 'уч']"
пикантн_NOUN,['ость']
вороб_NOUN,"['ушек', 'ышек']"
поступ_ADJF,['тельн']
парцелл_NOUN,['яци']
вал_NOUN,"['к', 'юх', 'ек', 'ник', 'ни', 'ин', 'ец', 'ищ', 'ок', 'ость', 'ик', 'н', 'щик', 'щиц', 'и', 'ен', 'я']"
тер_INFN,['ть']
фуляр_NOUN,[]
проповеда_INFN,['ть']
рез_ADJF,"['ов', 'н', 'нн', 'ые', 'тельн', 'к', 'анн']"
пре_INFN,['ть']
конквистадор_NOUN,[]
бронз_NOUN,"['щик', 'ит', 'ни', 'к']"
квадр_ADJF,"['н', 'ичн']"
мощь_NOUN,[]
курс_NOUN,"['к', 'ник', 'ниц', 'ист', 'ант', 'ив', 'и']"
игр_NOUN,"['ищ', 'ыш', 'ни', 'к', 'ец', 'овк', 'унь', 'ок', 'ость', 'ушк', 'тель', 'ун']"
клеп_NOUN,"['к', 'ни', 'л', 'щик']"
эдр_NOUN,"['ит', 'и']"
кус_INFN,"['ть', 'ыв', 'ан', 'н']"
колд_ADJF,"['нн', 'ск']"
транспарант_ADJF,['н']
суш_NOUN,"['к', 'ни', 'н', 'иц', 'а', 'няк', 'ени', 'тель', 'ост', 'ител']"
рощ_ADJF,['енн']
меч_PRTF,"['енн', 'ий', 'ущ', 'авш', 'ающ', 'аем', 'нн']"
аполог_NOUN,"['ет', 'ик', 'ист']"
сел_PRTF,"['енн', 'ивш', 'явш', 'ющ']"
фонарь_NOUN,[]
власт_ADJF,"['н', 'тельн', 'ск']"
голуб_ADJF,"['оват', 'ок', 'ес', 'ин', 'л', 'еньк', 'н', 'а', 'ат']"
мешоч_NOUN,"['еств', 'ник', 'ниц', 'ек']"
гряз_INFN,['ть']
служ_INFN,['ть']
утиль_ADJF,['н']
влечь_INFN,[]
тезк_NOUN,[]
клокот_INFN,['ть']
метр_ADJF,"['ов', 'ическ', 'н', 'еск']"
дым_NOUN,"['к', 'ок', 'арь']"
истор_NOUN,"['изм', 'ик', 'и']"
давл_NOUN,"['ни', 'ени', 'ик', 'ость', 'ост']"
кля_NOUN,['ти']
мист_NOUN,"['ик', 'атор', 'аци', 'изм']"
гумн_NOUN,[]
эктаз_NOUN,['и']
скоп_ADJF,"['н', 'ическ', 'ичн', 'еск']"
хран_NOUN,"['ник', 'ищ', 'ени', 'тель', 'ниц', 'к', 'ост', 'ител']"
обряд_NOUN,"['к', 'ец', 'еств']"
ыск_ADJF,"['н', 'ск', 'тельн', 'ующ', 'анн']"
саксон_NOUN,"['ец', 'к']"
стадий_ADJF,['н']
волос_NOUN,"['инк', 'ач', 'ик', 'ок', 'ник', 'ек', 'к', 'овин', 'ость', 'енк', 'оньк']"
влач_INFN,['ть']
скуд_INFN,['ть']
вотяц_ADJF,['к']
тыкв_NOUN,"['ик', 'ин']"
хоран_INFN,['ть']
страг_INFN,['ть']
би_ADJF,"['н', 'т', 'ем', 'ов', 'чив']"
компенс_NOUN,"['атор', 'аци', 'ост', 'ани']"
информ_NOUN,"['атор', 'аци', 'ость', 'ик', 'ант', 'ост', 'ани', 'вши']"
ист_NOUN,"['ец', 'иц', 'ин', 'ц']"
пек_ADJF,"['ск', 'н']"
ощущ_INFN,['ть']
плеск_INFN,['ть']
пуск_NOUN,"['н', 'ни', 'ник', 'ниц', 'ость', 'тель', 'ани', 'ов']"
меж_ADJF,['ев']
