,Imp,Perf
194,выворачивать,вывернуть
195,выворачивать,выворотить
196,выворачиваться,вывернуться
197,выгибать,выгнуть
198,выглядывать,выглядеть
199,выглядывать,выглянуть
200,выговаривать,выговорить
201,выгонять,выгнать
202,выгораживать,выгородить
203,выгорать,выгореть
204,выгружать,выгрузить
205,выгуливать,выгулять
206,выдавать,выдать
207,выдаваться,выдаться
208,выдавливать,выдавить
209,выдалбливать,выдолбить
210,выдвигать,выдвинуть
211,выдвигаться,выдвинуться
212,выдворять,выдворить
213,выделывать,выделать
214,выделять,выделить
215,выделяться,выделиться
216,выдергивать,выдернуть
217,выдерживать,выдержать
218,выдирать,выдрать
219,выдумывать,выдумать
220,выдыхать,выдохнуть
221,выдыхаться,выдохнуться
222,выезжать,выехать
223,выживать,выжить
224,выжигать,выжечь
225,выжидать,выждать
226,выжимать,выжать
227,вызволять,вызволить
228,выздоравливать,выздороветь
229,вызревать,вызреть
230,вызывать,вызвать
231,вызываться,вызваться
232,выигрывать,выиграть
233,выказывать,выказать
234,выкалывать,выколоть
235,выкапывать,выкопать
236,выкармливать,выкормить
237,выкатывать,выкатить
238,выкатываться,выкатиться
239,выкачивать,выкачать
240,выкидывать,выкинуть
241,выкладывать,выложить
242,выкладываться,выложиться
243,выключать,выключить
244,выключаться,выключиться
245,выковывать,выковать
246,выкорчевывать,выкорчевать
247,выкрадывать,выкрасть
248,выкрикивать,выкрикнуть
249,выкручивать,выкрутить
250,выкручиваться,выкрутиться
251,выкупать,выкупить
252,выкуривать,выкурить
253,вылавливать,выловить
254,выламывать,выломать
255,выламывать,выломить
256,вылезать,вылезти
257,вылезать,вылезть
258,вылетать,вылететь
259,вылечивать,вылечить
260,выливать,вылить
261,выливаться,вылиться
262,вылизывать,вылизать
263,вылупливаться,вылупиться
264,вымаливать,вымолить
265,выманивать,выманить
266,выматывать,вымотать
267,вымачивать,вымочить
268,выменивать,выменять
269,вымещать,выместить
270,вымирать,вымереть
271,вымывать,вымыть
272,вынашивать,выносить
273,вынимать,вынуть
274,выносить,вынести
275,вынуждать,вынудить
276,выныривать,вынырнуть
277,выпадать,выпасть
278,выпекать,выпечь
279,выпивать,выпить
280,выпиливать,выпилить
281,выписывать,выписать
282,выписываться,выписаться
283,выплавлять,выплавить
284,выплачивать,выплатить
285,выплевывать,выплюнуть
286,выплескивать,выплеснуть
287,выплескиваться,выплеснуться
288,выплывать,выплыть
289,выползать,выползти
290,выполнять,выполнить
291,выполняться,выполниться
292,выправлять,выправить
293,выправляться,выправиться
294,выпрашивать,выпросить
295,выпроваживать,выпроводить
296,выпрыгивать,выпрыгнуть
297,выпрямлять,выпрямить
298,выпрямляться,выпрямиться
299,выпускать,выпустить
300,выпутываться,выпутаться
301,выпытывать,выпытать
302,вырабатывать,выработать
303,вырабатываться,выработаться
304,выравнивать,выровнять
305,выравниваться,выровняться
306,выражать,выразить
307,выражаться,выразиться
308,вырастать,вырасти
309,выращивать,вырастить
310,вырезать,вырезать
311,вырезаться,вырезаться
312,вырождаться,выродиться
313,вырубать,вырубить
314,выруливать,вырулить
315,выручать,выручить
316,вырывать,вырвать
317,вырывать,вырыть
318,вырываться,вырваться
319,высаживать,высадить
320,высаживаться,высадиться
321,высасывать,высосать
322,высвечивать,высветить
323,высвобождать,высвободить
324,высвобождаться,высвободиться
325,высекать,высечь
326,выселять,выселить
327,выселяться,выселиться
328,высиживать,высидеть
329,высказывать,высказать
330,высказываться,высказаться
331,выскакивать,выскочить
332,выскальзывать,выскользнуть
333,выслеживать,выследить
334,выслушивать,выслушать
335,высмеивать,высмеять
336,высовывать,высунуть
337,высовываться,высунуться
338,выставлять,выставить
339,выстаивать,выстоять
340,выстилать,выстлать
341,выстраивать,выстроить
342,выстраиваться,выстроиться
343,выстреливать,выстрелить
344,выступать,выступить
345,высушивать,высушить
346,высчитывать,высчитать
347,высылать,выслать
348,высыпать,высыпать
349,высыпаться,выспаться
350,высыпаться,высыпаться
351,высыхать,высохнуть
352,выталкивать,вытолкать
353,выталкивать,вытолкнуть
354,вытаптывать,вытоптать
355,вытаскивать,вытащить
356,вытачивать,выточить
357,вытекать,вытечь
358,вытеснять,вытеснить
359,вытирать,вытереть
360,вытягивать,вытянуть
361,вытягиваться,вытянуться
362,выучивать,выучить
363,выхаживать,выходить
364,выхватывать,выхватить
365,выходить,выйти
366,выхолащивать,выхолостить
367,выцветать,выцвести
368,вычеркивать,вычеркнуть
369,вычислять,вычислить
370,вычитать,вычесть
371,вычитывать,вычитать
372,вычищать,вычистить
373,вычленять,вычленить
374,вышвыривать,вышвырнуть
375,вышивать,вышить
376,выявлять,выявить
377,выявляться,выявиться
378,выяснять,выяснить
379,выясняться,выясниться
380,давать,дать
381,даваться,даться
382,девать,деть
383,деваться,деться
384,дерзать,дерзнуть
385,добавлять,добавить
386,добавляться,добавиться
387,добегать,добежать
388,добивать,добить
389,добиваться,добиться
390,добирать,добрать
391,добираться,добраться
392,добывать,добыть
393,довершать,довершить
394,доверять,доверить
395,доверяться,довериться
396,доводить,довести
397,доводиться,довестись
398,довозить,довезти
399,догадываться,догадаться
400,договариваться,договориться
401,догонять,догнать
402,доделывать,доделать
403,додумывать,додумать
404,доезжать,доехать
405,доживать,дожить
406,дожимать,дожать
407,дозваниваться,дозвониться
408,дозволять,дозволить
409,доигрывать,доиграть
410,доказывать,доказать
411,докладывать,доложить
412,докупать,докупить
413,долетать,долететь
414,доносить,донести
415,доноситься,донестись
416,дописывать,дописать
417,доплачивать,доплатить
418,доплывать,доплыть
419,дополнять,дополнить
420,дополняться,дополниться
421,допрашивать,допросить
422,допускать,допустить
423,дорабатывать,доработать
424,дорисовывать,дорисовать
425,досаждать,досадить
426,досматривать,досмотреть
427,доставать,достать
428,доставаться,достаться
429,доставлять,доставить
430,достигать,достигнуть
431,достигать,достичь
432,достраивать,достроить
433,дотрагиваться,дотронуться
434,дотягивать,дотянуть
435,дотягиваться,дотянуться
436,доучиваться,доучиться
437,доходить,дойти
438,забегать,забежать
439,забивать,забить
440,забиваться,забиться
441,забирать,забрать
442,забираться,забраться
443,заболевать,заболеть
444,забрасывать,забросать
445,забрасывать,забросить
446,забредать,забрести
447,забывать,забыть
448,забываться,забыться
449,заваливать,завалить
450,заваливаться,завалиться
451,заваривать,заварить
452,завершать,завершить
453,завершаться,завершиться
454,заверять,заверить
455,завешивать,завесить
456,завивать,завить
457,зависать,зависнуть
458,завладевать,завладеть
459,завлекать,завлечь
460,заводить,завести
461,заводиться,завестись
462,завоевывать,завоевать
463,завозить,завезти
464,заволакивать,заволочь
465,завораживать,заворожить
466,заворачивать,завернуть
467,заворачиваться,завернуться
468,завышать,завысить
469,завязать,завязнуть
470,завязывать,завязать
471,завязываться,завязаться
472,загадывать,загадать
473,загибать,загнуть
474,заглушать,заглушить
475,заглядывать,заглянуть
476,заговаривать,заговорить
477,загонять,загнать
478,загораживать,загородить
479,загораться,загореться
480,заготавливать,заготовить
481,заготовлять,заготовить
482,загружать,загрузить
483,загружаться,загрузиться
484,загрязнять,загрязнить
485,задавать,задать
486,задаваться,задаться
487,задевать,задеть
488,заделывать,заделать
489,задерживать,задержать
490,задерживаться,задержаться
491,задирать,задрать
492,задувать,задуть
493,задумывать,задумать
494,задумываться,задуматься
495,задыхаться,задохнуться
496,заедать,заесть
497,заезжать,заехать
498,заживать,зажить
499,зажигать,зажечь
500,зажигаться,зажечься
501,зажимать,зажать
502,зазывать,зазвать
503,заигрывать,заиграть
504,заикаться,заикнуться
505,заинтересовывать,заинтересовать
506,заинтересовываться,заинтересоваться
507,заказывать,заказать
508,закалывать,заколоть
509,закалять,закалить
510,заканчивать,закончить
511,заканчиваться,закончиться
512,закапывать,закопать
513,закапываться,закопаться
514,закатывать,закатать
515,закатывать,закатить
516,закатываться,закатиться
517,закачивать,закачать
518,закидывать,закидать
519,закидывать,закинуть
520,закипать,закипеть
521,закладывать,заложить
522,заклеивать,заклеить
523,заклинивать,заклинить
524,заключать,заключить
525,заковывать,заковать
526,заколачивать,заколотить
527,закрашивать,закрасить
528,закреплять,закрепить
529,закрепляться,закрепиться
530,закручивать,закрутить
531,закручиваться,закрутиться
532,закрывать,закрыть
533,закрываться,закрыться
534,закупать,закупить
535,закупоривать,закупорить
536,закуривать,закурить
537,закусывать,закусить
538,заламывать,заломить
539,залегать,залечь
540,залезать,залезть
541,залетать,залететь
542,залечивать,залечить
543,заливать,залить
544,замазывать,замазать
545,замалчивать,замолчать
546,заманивать,заманить
547,замахиваться,замахнуться
548,замачивать,замочить
549,замедлять,замедлить
550,замедляться,замедлиться
551,заменять,заменить
552,заменяться,замениться
553,замерзать,замерзнуть
554,замерять,замерить
555,заметать,замести
556,замечать,заметить
557,замешивать,замесить
558,замещать,заместить
559,замирать,замереть
560,замолкать,замолкнуть
561,замораживать,заморозить
562,замуровывать,замуровать
563,замыкать,замкнуть
564,замыкаться,замкнуться
565,замышлять,замыслить
566,занижать,занизить
567,занимать,занять
568,заниматься,заняться
569,заносить,занести
570,заострять,заострить
571,запаздывать,запоздать
572,запасать,запасти
573,запасаться,запастись
574,запевать,запеть
575,запекать,запечь
576,запечатлевать,запечатлеть
577,запечатывать,запечатать
578,запивать,запить
579,запинаться,запнуться
580,запирать,запереть
581,запираться,запереться
582,записывать,записать
583,записываться,записаться
584,запихивать,запихать
585,запихивать,запихнуть
586,заплетать,заплести
587,заплывать,заплыть
588,заползать,заползти
589,заполнять,заполнить
590,заполняться,заполниться
591,запоминать,запомнить
592,запоминаться,запомниться
593,заправлять,заправить
594,заправляться,заправиться
595,запрашивать,запросить
596,запрещать,запретить
597,запрыгивать,запрыгнуть
598,запрягать,запрячь
599,запугивать,запугать
600,запускать,запустить
601,запутывать,запутать
602,запутываться,запутаться
603,зарабатывать,заработать
604,заражать,заразить
605,заражаться,заразиться
606,зарастать,зарасти
607,зарисовывать,зарисовать
608,зарождаться,зародиться
609,заручаться,заручиться
610,зарывать,зарыть
611,зарываться,зарваться
612,зарываться,зарыться
613,заряжать,зарядить
614,заряжаться,зарядиться
615,засасывать,засосать
616,засевать,засеять
617,заседать,засесть
618,засекать,засечь
619,засекречивать,засекретить
620,заселять,заселить
621,заселяться,заселиться
622,засиживаться,засидеться
623,заслонять,заслонить
624,заслуживать,заслужить
625,заслушивать,заслушать
626,засовывать,засунуть
627,засорять,засорить
628,заставать,застать
629,заставлять,заставить
630,застаиваться,застояться
631,застегивать,застегнуть
632,застилать,застелить
633,застраивать,застроить
634,застревать,застрять
635,застреливать,застрелить
636,заступать,заступить
637,заступаться,заступиться
638,застывать,застыть
639,засчитывать,засчитать
640,засылать,заслать
641,засыпать,заснуть
642,засыпать,засыпать
643,засыпаться,засыпаться
644,засыхать,засохнуть
645,заталкивать,затолкать
646,затапливать,затопить
647,затаскивать,затаскать
648,затаскивать,затащить
649,затачивать,заточить
650,затвердевать,затвердеть
651,затевать,затеять
652,затемнять,затемнить
653,затенять,затенить
654,затихать,затихнуть
655,затмевать,затмить
656,затоплять,затопить
657,затормаживать,затормозить
658,заточать,заточить
659,затрагивать,затронуть
660,затрачивать,затратить
661,затруднять,затруднить
662,затрудняться,затрудниться
663,затухать,затухнуть
664,затыкать,заткнуть
665,затягивать,затянуть
666,затягиваться,затянуться
667,заучивать,заучить
668,захватывать,захватить
669,захлебываться,захлебнуться
670,захлестывать,захлестнуть
671,захлопывать,захлопнуть
672,захлопываться,захлопнуться
673,заходить,зайти
674,зацветать,зацвести
675,зацикливаться,зациклиться
676,зачислять,зачислить
677,зачитывать,зачесть
678,зачитывать,зачитать
679,зачищать,зачистить
680,зашивать,зашить
681,зашифровывать,зашифровать
682,защищать,защитить
683,защищаться,защититься
684,заявлять,заявить
685,заявляться,заявиться
686,злоупотреблять,злоупотребить
687,избавлять,избавить
688,избавляться,избавиться
689,избегать,избегнуть
690,избегать,избежать
691,избивать,избить
692,избирать,избрать
693,извергать,извергнуть
694,извещать,известить
695,извиняться,извиниться
696,извлекать,извлечь
697,изводить,извести
698,извращать,извратить
699,изгибать,изогнуть
700,изгонять,изгнать
701,изготавливать,изготовить
702,изготавливаться,изготовиться
703,изготовлять,изготовить
704,изготовляться,изготовиться
705,издавать,издать
706,изживать,изжить
707,излагать,изложить
708,излечивать,излечить
709,излечиваться,излечиться
710,изливать,излить
711,изливаться,излиться
712,излучать,излучить
713,изматывать,измотать
714,измельчать,измельчить
715,изменять,изменить
716,изменяться,измениться
717,измерять,измерить
718,изнашиваться,износиться
719,изнурять,изнурить
720,изобличать,изобличить
721,изображать,изобразить
722,изобретать,изобрести
723,изрезать,изрезать
724,изумлять,изумить
725,изучать,изучить
726,изъявлять,изъявить
727,изымать,изъять
728,изыскивать,изыскать
729,искажать,исказить
730,искажаться,исказиться
731,исключать,исключить
732,искоренять,искоренить
733,искривлять,искривить
734,искупать,искупить
735,испаряться,испариться
736,испепелять,испепелить
737,исповедовать,исповедать
738,исповедоваться,исповедаться
739,исполнять,исполнить
740,исполняться,исполниться
741,исправлять,исправить
742,исправляться,исправиться
743,испрашивать,испросить
744,испускать,испустить
745,испытывать,испытать
746,иссушать,иссушить
747,иссякать,иссякнуть
748,истекать,истечь
749,истолковывать,истолковать
750,истощать,истощить
751,истощаться,истощиться
752,истреблять,истребить
753,исцелять,исцелить
754,исцеляться,исцелиться
755,исчезать,исчезнуть
756,исчерпывать,исчерпать
757,исчерпываться,исчерпаться
758,касаться,коснуться
759,кончать,кончить
760,кончаться,кончиться
761,лишать,лишить
762,лишаться,лишиться
763,ложиться,лечь
764,набегать,набежать
765,набивать,набить
766,набиваться,набиться
767,набирать,набрать
768,набираться,набраться
769,набрасывать,набросить
770,набрасываться,наброситься
771,набухать,набухнуть
772,наваливаться,навалиться
773,навевать,навеять
774,наведываться,наведаться
775,наверстывать,наверстать
776,навешивать,навесить
777,навещать,навестить
778,нависать,нависнуть
779,навлекать,навлечь
780,наводить,навести
781,наводнять,наводнить
782,навязывать,навязать
783,нагибаться,нагнуться
784,наговаривать,наговорить
785,нагонять,нагнать
786,награждать,наградить
787,нагревать,нагреть
788,нагреваться,нагреться
789,нагружать,нагрузить
790,надавливать,надавить
791,надевать,надеть
792,надеваться,надеться
793,наделять,наделить
794,надиктовывать,надиктовать
795,надоедать,надоесть
796,надрезать,надрезать
797,надстраивать,надстроить
798,надувать,надуть
799,наезжать,наехать
800,наживать,нажить
801,наживаться,нажиться
802,нажимать,нажать
803,назначать,назначить
804,назревать,назреть
805,называть,назвать
806,называться,назваться
807,наигрывать,наиграть
808,наказывать,наказать
809,накалывать,наколоть
810,накалять,накалить
811,накаляться,накалиться
812,накапливать,накопить
813,накапливаться,накопиться
814,накатывать,накатить
815,накачивать,накачать
816,накидывать,накидать
817,накидывать,накинуть
818,накидываться,накинуться
819,накладывать,наложить
820,наклеивать,наклеить
821,накликать,накликать
822,наклонять,наклонить
823,наклоняться,наклониться
824,накручивать,накрутить
825,накрывать,накрыть
826,накрываться,накрыться
827,налагать,наложить
828,налаживать,наладить
829,налаживаться,наладиться
830,налетать,налететь
831,наливать,налить
832,налипать,налипнуть
833,намазывать,намазать
834,наматывать,намотать
835,намекать,намекнуть
836,намечать,наметить
837,намечаться,наметиться
838,намокать,намокнуть
839,намывать,намыть
840,нанизывать,нанизать
841,нанимать,нанять
842,наниматься,наняться
843,наносить,нанести
844,нападать,нападать
845,нападать,напасть
846,напиваться,напиться
847,наполнять,наполнить
848,наполняться,наполниться
849,напоминать,напомнить
850,направлять,направить
851,направляться,направиться
852,напрашиваться,напроситься
853,напрягать,напрячь
854,напрягаться,напрячься
855,напускать,напустить
856,нарабатывать,наработать
857,нарастать,нарасти
858,наращивать,нарастить
859,нарезать,нарезать
860,нарезаться,нарезаться
861,нарекать,наречь
862,нарождаться,народиться
863,нарушать,нарушить
864,нарушаться,нарушиться
865,нарываться,нарваться
866,наряжать,нарядить
867,наряжаться,нарядиться
868,насаждать,насадить
869,насаживать,насадить
870,населять,населить
871,насиживать,насидеть
872,наслаждаться,насладиться
873,наставать,настать
874,наставлять,наставить
875,настаивать,настоять
876,настигать,настигнуть
877,настигать,настичь
878,настораживать,насторожить
879,настраивать,настроить
880,настраиваться,настроиться
881,наступать,наступить
882,насчитывать,насчитать
883,насылать,наслать
884,насыпать,насыпать
885,насыщать,насытить
886,насыщаться,насытиться
887,наталкивать,натолкнуть
888,наталкиваться,натолкнуться
889,натаскивать,натаскать
890,натирать,натереть
891,натравливать,натравить
892,натыкаться,наткнуться
893,натягивать,натянуть
894,находить,найти
895,находиться,найтись
896,нацеливать,нацелить
897,нацеливаться,нацелиться
898,начинать,начать
899,начинаться,начаться
900,начинять,начинить
901,начислять,начислить
902,начитывать,начитать
903,нашивать,нашить
904,нащупывать,нащупать
905,недооценивать,недооценить
906,недоплачивать,недоплатить
907,недополучать,недополучить
908,недоставать,недостать
909,низвергать,низвергнуть
910,низводить,низвести
911,обваливать,обвалить
912,обваливаться,обвалиться
913,обвивать,обвить
914,обвинять,обвинить
915,обводить,обвести
916,обворовывать,обворовать
917,обвязывать,обвязать
918,обговаривать,обговорить
919,обгонять,обогнать
920,обделять,обделить
921,обдумывать,обдумать
922,обеднять,обеднить
923,обезвреживать,обезвредить
924,обезглавливать,обезглавить
925,обездвиживать,обездвижить
926,обезоруживать,обезоружить
927,обелять,обелить
928,обескураживать,обескуражить
929,обеспечивать,обеспечить
930,обесценивать,обесценить
931,обесцениваться,обесцениться
932,обжаривать,обжарить
933,обживать,обжить
934,обживаться,обжиться
935,обжигать,обжечь
936,обжигаться,обжечься
937,обзаводиться,обзавестись
938,обзванивать,обзвонить
939,обзывать,обозвать
940,обивать,обить
941,обижать,обидеть
942,обижаться,обидеться
943,обирать,обобрать
944,обкатывать,обкатать
945,обкатывать,обкатить
946,обкладывать,обложить
947,обкрадывать,обокрасть
948,облагать,обложить
949,облагораживать,облагородить
950,обламываться,обломиться
951,облачать,облачить
952,облачаться,облачиться
953,облегать,облечь
954,облегчать,облегчить
955,облегчаться,облегчиться
956,облекать,облечь
957,облетать,облететь
958,обливать,облить
959,обливаться,облиться
960,облизывать,облизать
961,облицовывать,облицевать
962,обличать,обличить
963,облучать,облучить
964,обмазывать,обмазать
965,обманывать,обмануть
966,обманываться,обмануться
967,обматывать,обмотать
968,обменивать,обменить
969,обменивать,обменять
970,обмениваться,обменяться
971,обмывать,обмыть
972,обнадеживать,обнадежить
973,обнажать,обнажить
974,обнажаться,обнажиться
975,обналичивать,обналичить
976,обнаруживать,обнаружить
977,обнаруживаться,обнаружиться
978,обнимать,обнять
979,обниматься,обняться
980,обновлять,обновить
981,обновляться,обновиться
982,обносить,обнести
983,обобщать,обобщить
984,обогащать,обогатить
985,обогащаться,обогатиться
986,обогревать,обогреть
987,ободрять,ободрить
988,обожествлять,обожествить
989,обозначать,обозначить
990,обозначаться,обозначиться
991,обозревать,обозреть
992,обольщать,обольстить
993,оборачивать,обернуть
994,оборачиваться,обернуться
995,обосновывать,обосновать
996,обосновываться,обосноваться
997,обособлять,обособить
998,обособляться,обособиться
999,обострять,обострить
1000,обостряться,обостриться
1001,обрабатывать,обработать
1002,образовывать,образовать
1003,образовываться,образоваться
1004,обрамлять,обрамить
1005,обрастать,обрасти
1006,обращать,обратить
1007,обращаться,обратиться
1008,обрезать,обрезать
1009,обрекать,обречь
1010,обременять,обременить
1011,обретать,обрести
1012,обрисовывать,обрисовать
1013,обручаться,обручиться
1014,обрушивать,обрушить
1015,обрушиваться,обрушиться
1016,обрывать,оборвать
1017,обрываться,оборваться
1018,обслуживать,обслужить
1019,обставлять,обставить
1020,обстреливать,обстрелять
1021,обсуждать,обсудить
1022,обсыпать,обсыпать
1023,обтягивать,обтянуть
1024,обуславливать,обусловить
1025,обусловливать,обусловить
1026,обустраивать,обустроить
1027,обучать,обучить
1028,обучаться,обучиться
1029,обхватывать,обхватить
1030,обходить,обойти
1031,обходиться,обойтись
1032,обчищать,обчистить
1033,обшивать,обшить
1034,объединять,объединить
1035,объединяться,объединиться
1036,объезжать,объездить
1037,объезжать,объехать
1038,объявлять,объявить
1039,объявляться,объявиться
1040,объяснять,объяснить
1041,объясняться,объясниться
1042,обыгрывать,обыграть
1043,обыскивать,обыскать
1044,обязывать,обязать
1045,обязываться,обязаться
1046,овладевать,овладеть
1047,огибать,обогнуть
1048,оглашать,огласить
1049,оглушать,оглушить
1050,оглядываться,оглянуться
1051,оговаривать,оговорить
1052,оговариваться,оговориться
1053,оголять,оголить
1054,оголяться,оголиться
1055,огораживать,огородить
1056,огорчать,огорчить
1057,огорчаться,огорчиться
1058,ограждать,оградить
1059,ограничивать,ограничить
1060,ограничиваться,ограничиться
1061,огрызаться,огрызнуться
1062,одалживать,одолжить
1063,одаривать,одарить
1064,одарять,одарить
1065,одевать,одеть
1066,одеваться,одеться
1067,одерживать,одержать
1068,одобрять,одобрить
1069,одолевать,одолеть
1070,одурманивать,одурманить
1071,одухотворять,одухотворить
1072,оживать,ожить
1073,оживлять,оживить
1074,оживляться,оживиться
1075,озадачивать,озадачить
1076,озарять,озарить
1077,озвучивать,озвучить
1078,озеленять,озеленить
1079,означать,означить
1080,оказывать,оказать
1081,оказываться,оказаться
1082,окаймлять,окаймить
1083,оканчивать,окончить
1084,оканчиваться,окончиться
1085,окапываться,окопаться
1086,окислять,окислить
1087,окликать,окликнуть
1088,окрашивать,окрасить
1089,окрашиваться,окраситься
1090,окроплять,окропить
1091,округлять,округлить
1092,округляться,округлиться
1093,окружать,окружить
1094,окрылять,окрылить
1095,окунать,окунуть
1096,окунаться,окунуться
1097,окупать,окупить
1098,окупаться,окупиться
1099,окутывать,окутать
1100,олицетворять,олицетворить
1101,омолаживать,омолодить
1102,омрачать,омрачить
1103,омрачаться,омрачиться
1104,омывать,омыть
1105,опадать,опасть
1106,опаздывать,опоздать
1107,опережать,опередить
1108,оперяться,опериться
1109,опечатывать,опечатать
1110,опираться,опереться
1111,описывать,описать
1112,оплакивать,оплакать
1113,оплачивать,оплатить
1114,оплодотворять,оплодотворить
1115,оповещать,оповестить
1116,опознавать,опознать
1117,опоясывать,опоясать
1118,оправдывать,оправдать
1119,оправдываться,оправдаться
1120,оправлять,оправить
1121,оправляться,оправиться
1122,опрашивать,опросить
1123,определять,определить
1124,определяться,определиться
1125,опровергать,опровергнуть
1126,опрокидывать,опрокинуть
1127,опрокидываться,опрокинуться
1128,опротестовывать,опротестовать
1129,опрыскивать,опрыскать
1130,опубликовывать,опубликовать
1131,опускать,опустить
1132,опускаться,опуститься
1133,опустошать,опустошить
1134,опутывать,опутать
1135,опухать,опухнуть
1136,опьянять,опьянить
1137,организовывать,организовать
1138,организовываться,организоваться
1139,осаждать,осадить
1140,осваивать,освоить
1141,осваиваться,освоиться
1142,освежать,освежить
1143,освещать,осветить
1144,освистывать,освистать
1145,освобождать,освободить
1146,освобождаться,освободиться
1147,освящать,освятить
1148,оседать,осесть
1149,осенять,осенить
1150,осквернять,осквернить
