root,prefixes
фтор_PRTF,"['о', 'бес']"
вя_ADJF,"['за', 'у']"
реферат_NOUN,[]
плоч_PRTF,"['на', 'пере', 'с']"
сал_INFN,"['пере', 'по', 'при', 'ис', 'за', 'на', 'про', 'о', 'до', 'об', 'под']"
цыпл_NOUN,[]
меж_PRTF,"['пере', 'от', 'об', 'раз', 'за', 'при', 'на']"
па_INFN,"['в', 'при', 'за', 'с', 'пере', 'вс', 'у', 'рас', 'до', 'под', 'о', 'на', 'от', 'вы', 'про']"
кварталь_ADJF,"['по', 'в']"
прям_ADJF,"['не', 'вы', 'у']"
коп_INFN,"['под', 'на', 'пере', 'при', 'ис', 'с', 'вс', 'вы', 'в', 'до', 'за', 'не', 'об', 'о', 'от', 'по', 'про', 'рас']"
хуль_ADJF,[]
ять_NOUN,[]
глуш_INFN,"['при', 'за', 'пере', 'на', 'о']"
ха_NOUN,['о']
мэрон_ADJF,[]
рыв_NOUN,"['вз', 'над', 'от', 'не', 'пре', 'пере', 'об', 'про', 'под', 'с', 'по', 'раз', 'на']"
клуб_NOUN,['интер']
кучер_NOUN,[]
полз_ADVB,[]
стро_NOUN,"['не', 'анти', 'пере', 'у', 'по', 'на', 'об', 'рас']"
пород_NOUN,[]
майолик_ADJF,[]
бег_NOUN,"['про', 'за', 'вы', 'пере', 'на', 'по', 'раз', 'с', 'в', 'из', 'при']"
вояж_NOUN,[]
шлифов_NOUN,"['за', 'от', 'пере']"
к_ADJF,['не']
пуст_INFN,"['вы', 'о', 'на', 'пере', 'при', 'с', 'нис', 'ис', 'под', 'в', 'до', 'за', 'от', 'про', 'рас', 'у']"
сапож_NOUN,['у']
корм_NOUN,"['при', 'под', 'вы', 'от', 'бес', 'не', 'до', 'об', 'про', 'пере']"
люб_NOUN,"['по', 'не', 'в']"
модел_NOUN,[]
член_ADJF,"['бес', 'у', 'со']"
глаз_ADJF,"['у', 'над', 'без', 'на', 'под', 'за']"
лет_NOUN,"['у', 'об', 'от', 'пере', 'вы', 'с', 'на', 'про', 'при', 'под', 'из', 'раз', 'по', 'вз', 'не', 'до', 'за']"
лист_INFN,"['пере', 'об', 'по', 'о', 'без']"
контрибуци_NOUN,[]
против_NOUN,['су']
школ_NOUN,['до']
ботв_NOUN,[]
ловл_INFN,['у']
граф_NOUN,"['изо', 'микро', 'о']"
мешк_ADJF,[]
шлифова_INFN,"['от', 'пере', 'при', 'за', 'вы', 'о']"
хваль_ADJF,['по']
терап_NOUN,[]
сатир_ADJF,[]
бел_INFN,"['до', 'у', 'на', 'за', 'пере', 'вы', 'о', 'от', 'по', 'под', 'про']"
новл_PRTF,"['воз', 'об', 'под', 'по']"
выш_NOUN,"['пре', 'все', 'за', 'воз', 'по']"
мор_INFN,"['по', 'с', 'вы', 'у', 'из', 'раз', 'за', 'пере', 'на', 'про']"
род_ADJF,"['не', 'о', 'после', 'за', 'меж', 'пра', 'без', 'пред', 'до', 'на', 'при', 'с', 'у']"
завис_ADJF,"['у', 'не']"
кос_NOUN,"['по', 'с', 'об', 'ыс', 'под', 'при', 'пере', 'про', 'со', 'рас', 'у', 'вы', 'не', 'от']"
пампас_ADJF,[]
полем_NOUN,[]
нов_ADVB,"['за', 'по', 'с', 'ыз', 'на']"
шлюз_ADJF,[]
верг_INFN,"['по', 'от', 'в', 'низ', 'нис', 'про', 'о', 'с']"
плот_NOUN,"['с', 'у']"
механ_PRTF,[]
голод_ADJF,['у']
англий_ADVB,['по']
щит_ADJF,"['с', 'без', 'за']"
рельеф_NOUN,"['макро', 'микро']"
копт_NOUN,[]
пеш_ADVB,[]
цел_ADJF,"['не', 'ис']"
брызг_INFN,"['вз', 'раз', 'за', 'вы', 'по', 'с', 'о', 'на']"
ращ_NOUN,"['вз', 'про', 'на', 'вы', 'при', 'от', 'с', 'воз', 'раз', 'до']"
стом_NOUN,[]
един_NOUN,"['у', 'при', 'со', 'объ', 'разъ', 'от', 'вос', 'по', 'не']"
фронт_NOUN,['а']
нитр_NOUN,['де']
крекер_NOUN,[]
цит_NOUN,"['микро', 'макро']"
мед_ADJF,[]
офицер_ADJF,[]
лепет_INFN,"['по', 'за', 'у', 'про']"
матрич_ADJF,[]
апелл_ADJF,[]
счит_NOUN,"['об', 'пере', 'вы']"
печ_NOUN,"['за', 'по', 'при', 'вы', 'под', 'бес', 'в', 'до', 'о', 'от', 'пере', 'рас']"
под_NOUN,"['анти', 'макро']"
пряд_NOUN,['вы']
бел_NOUN,"['за', 'пере', 'про', 'по', 'вы', 'под', 'от', 'из']"
брат_NOUN,"['по', 'со']"
кукуруз_ADJF,[]
мобиль_NOUN,[]
мой_NOUN,['по']
брод_INFN,"['с', 'из', 'вы', 'до', 'за', 'на', 'от', 'пере', 'по', 'под', 'про']"
строч_VERB,[]
прыг_INFN,"['пере', 'при', 'у', 'от', 'до', 'вс', 'по', 'под', 'в', 'вы', 'за', 'на', 'рас', 'с']"
нос_ADJF,"['пере', 'у', 'вы', 'с', 'не', 'за', 'раз', 'без', 'со', 'от', 'ыз', 'о', 'под', 'на', 'про', 'из']"
душ_NOUN,"['про', 'у', 'без', 'не', 'о', 'за', 'на', 'от']"
исследова_ADJF,"['на', 'не']"
шныр_PRTF,['об']
рейх_NOUN,[]
рус_ADJF,"['об', 'не']"
толк_NOUN,"['бес', 'с']"
квел_ADJF,[]
пек_PRTF,"['пере', 'про', 'при', 'по', 'до', 'за', 'вы', 'у', 'с', 'под', 'ис', 'на', 'от', 'рас']"
инфиц_INFN,"['дез', 'про']"
иерихон_ADJF,[]
да_INFN,"['над', 'при', 'вы', 'из', 'об', 'в', 'под', 'пере', 'от', 'по', 'с', 'на', 'не', 'до', 'воз', 'раз', 'за', 'пре', 'про', 'у']"
стат_NOUN,"['анти', 'кон', 'о']"
пят_NOUN,['под']
изол_NOUN,[]
угол_NOUN,[]
камбий_NOUN,[]
воодушев_INFN,[]
саам_ADJF,[]
ветер_NOUN,[]
лат_NOUN,[]
изнур_NOUN,[]
балет_NOUN,[]
маз_NOUN,"['по', 'пере', 'в', 'при', 'с', 'вы', 'об', 'раз', 'про', 'на', 'под', 'за']"
чес_PRTF,"['от', 'о', 'об', 'вы', 'на', 'рас', 'до', 'при', 'у', 'с', 'по', 'под', 'пере', 'про', 'за']"
сейф_NOUN,[]
вал_PRTF,"['при', 'у', 'раз', 'пере', 'от', 'из', 'на', 'за', 'под', 'об', 'вы', 'по', 'в', 'вз', 'с', 'про']"
обиж_INFN,[]
суш_INFN,"['на', 'по', 'об', 'про', 'вы', 'ис', 'за', 'пере', 'у', 'при', 'до', 'о', 'под']"
лог_NOUN,"['о', 'ото', 'после', 'от', 'по', 'пере', 'за', 'де', 'а', 'прото', 'про', 'микро', 'об', 'на', 'под', 'пред', 'с']"
страд_NOUN,['со']
рой_ADJF,[]
плах_NOUN,[]
женьшень_NOUN,[]
граф_ADJF,[]
строй_NOUN,"['под', 'рас', 'у', 'за', 'при', 'над', 'со', 'до', 'об', 'по', 'не', 'пере', 'от', 'в', 'на']"
гн_PRTF,"['пере', 'обо', 'разо', 'по', 'с', 'воз', 'при', 'на', 'из', 'ото', 'во', 'за', 'до', 'вы', 'под', 'подо', 'со', 'у', 'про']"
леч_INFN,"['из', 'вы', 'по', 'до', 'про', 'за', 'пере', 'под']"
нос_NOUN,"['под', 'об', 'о', 'пере', 'не', 'до', 'с', 'раз', 'в', 'про', 'за', 'у', 'контр', 'от', 'на', 'вы', 'без', 'ыз', 'при', 'вз', 'по', 'из']"
бряк_INFN,"['по', 'на']"
шкод_INFN,['на']
раввин_NOUN,[]
гон_ADJF,"['с', 'вы', 'на', 'раз', 'при', 'пере', 'от', 'из', 'за', 'воз', 'у', 'под', 'бес', 'про']"
дох_NOUN,"['вз', 'вы', 'в']"
верещ_INFN,['за']
огород_NOUN,[]
ропщ_PRTF,[]
ерз_INFN,"['съ', 'изъ', 'объ', 'по']"
добр_ADJF,"['не', 'пре', 'о', 'у']"
паперть_NOUN,[]
патрон_ADJF,['бес']
колос_NOUN,[]
рецепт_NOUN,[]
езж_INFN,"['разъ', 'за', 'подъ', 'вы', 'у', 'про', 'взъ', 'до', 'отъ', 'на', 'въ', 'из', 'объ', 'пере', 'при', 'съ']"
глох_INFN,"['о', 'за']"
строж_ADJF,['у']
режисс_ADJF,[]
мельч_INFN,"['раз', 'пере', 'из', 'по', 'об', 'на']"
коррект_INFN,"['с', 'от', 'про']"
заслуж_INFN,[]
гидр_NOUN,"['ан', 'де']"
постоянн_NOUN,[]
лиц_ADJF,['об']
маз_INFN,"['у', 'до', 'из', 'на', 'с', 'раз', 'в', 'вы', 'за', 'об', 'от', 'пере', 'под', 'по', 'при', 'про']"
звер_ADJF,"['о', 'у']"
один_ADJS,[]
дефис_NOUN,[]
денежь_NOUN,['без']
флуоресц_INFN,[]
вож_NOUN,"['о', 'без', 'про']"
указ_NOUN,['у']
социал_NOUN,[]
каупер_NOUN,[]
информ_ADJF,"['раз', 'из', 'дез', 'не']"
форзац_NOUN,[]
фаг_NOUN,"['микро', 'макро']"
альтерн_ADJF,[]
невр_NOUN,['а']
вязь_NOUN,"['роз', 'за', 'с', 'орг']"
вещ_NOUN,"['из', 'воз', 'пред', 'опо', 'анти', 'о', 'по', 'у']"
бактери_NOUN,[]
монгол_NOUN,[]
багр_INFN,"['о', 'с', 'за', 'по']"
каляк_NOUN,[]
верт_NOUN,"['об', 'при', 'пере', 'с', 'под', 'экстра', 'вы', 'в', 'у', 'за', 'от', 'раз', 'на', 'до', 'кон', 'про']"
слаб_INFN,"['рас', 'про', 'о']"
кош_NOUN,[]
диакритич_ADJF,[]
се_NOUN,"['рас', 'вы', 'по', 'об', 'под', 'от', 'про', 'за', 'не', 'до', 'о']"
образ_ADJF,"['на', 'под', 'без', 'о', 'у', 'с', 'из', 'не', 'во', 'со']"
гитар_ADJF,[]
будн_ADVB,['по']
губ_NOUN,"['с', 'по', 'па']"
плечь_NOUN,"['за', 'пред', 'о']"
пуп_ADJF,[]
черп_INFN,"['ис', 'с', 'до', 'пере', 'по', 'от', 'вы', 'за', 'на']"
бран_INFN,"['воз', 'по', 'пере', 'за', 'вы', 'из', 'раз']"
дель_NOUN,"['без', 'с', 'от', 'пре', 'раз']"
дроб_ADJF,[]
калифорн_ADJF,[]
иждив_ADJF,[]
неглиж_INFN,[]
корчм_ADJF,[]
концерт_NOUN,[]
краб_NOUN,[]
пластик_NOUN,[]
госпитал_PRTF,[]
сигналь_ADJF,[]
холощ_NOUN,[]
злак_NOUN,[]
ион_NOUN,['де']
реликви_NOUN,[]
сребр_NOUN,['бес']
рэкет_NOUN,[]
круг_ADVB,['в']
город_ADJF,"['за', 'при', 'под', 'между', 'пере', 'вне']"
правл_NOUN,"['в', 'у', 'по', 'вы', 'ис', 'на', 'от', 'с']"
звуч_NOUN,"['без', 'со', 'не', 'о', 'от']"
стар_NOUN,"['пере', 'с', 'ыс', 'по', 'анти', 'за']"
долг_ADJF,"['про', 'не']"
ектень_NOUN,[]
клеп_INFN,"['под', 'с', 'вы', 'при', 'от', 'в', 'вс', 'пере', 'на', 'рас', 'за']"
эргат_NOUN,[]
круч_PRTF,"['пере', 'рас', 'под', 'про', 'при', 'у', 'от', 'ис', 'вы', 'с', 'о', 'на', 'до', 'об', 'по', 'в', 'за', 'не']"
вал_INFN,"['у', 'раз', 'пере', 'об', 'из', 'за', 'по', 'на', 'в', 'вз', 'вы', 'до', 'от', 'под', 'при', 'про', 'с']"
окул_INFN,[]
индустри_ADJF,[]
капельдинер_NOUN,[]
перч_INFN,"['по', 'про', 'на', 'пере', 'при']"
друж_INFN,"['раз', 'с', 'пере', 'по', 'у']"
вар_NOUN,"['у', 'с', 'вы', 'за', 'по', 'не', 'на', 'пере', 'от', 'при', 'вз', 'об', 'до', 'под', 'про', 'раз']"
бугр_INFN,['вз']
щелк_INFN,"['на', 'пере', 'по', 'рас', 'при', 'об', 'от', 'за', 'вы', 'под', 'про']"
эксплуат_ADJF,[]
бай_NOUN,[]
пик_PRTF,['рас']
царап_INFN,"['с', 'об', 'вы', 'про', 'на', 'ис', 'о', 'рас', 'за', 'пере', 'по']"
планет_ADJF,"['при', 'меж', 'около']"
подоб_ADJF,"['не', 'бес']"
плюс_PRTF,"['при', 'рас']"
механ_ADJF,[]
рабат_ADJF,"['пере', 'об', 'до']"
сенсуал_NOUN,[]
дел_NOUN,"['пере', 'раз', 'от', 'без', 'распре', 'под', 'у', 'воз', 'вы', 'об', 'орг', 'при', 'за', 'про', 'ни', 'не', 'до', 'с', 'в', 'из', 'по', 'на', 'о', 'пре']"
спектив_ADJF,[]
игр_INFN,"['на', 'вы', 'по', 'пере', 'про', 'до', 'за', 'не']"
чист_INFN,"['за', 'рас', 'с', 'до', 'об', 'вы', 'от', 'на', 'о', 'пере', 'под', 'по', 'про']"
скваж_NOUN,[]
верст_NOUN,"['пере', 'в', 'под', 'раз', 'у']"
серд_ADJF,['не']
кристалл_INFN,"['вы', 'о', 'за', 'от']"
пак_ADJF,['у']
кропл_INFN,['о']
пил_NOUN,"['с', 'про', 'рас', 'вы', 'о', 'под', 'от', 'на', 'пере']"
брюх_ADJF,[]
воскреш_PRTF,[]
погод_NOUN,['не']
чет_ADJF,"['с', 'не', 'от', 'на', 'рас', 'по', 'за', 'без', 'у', 'под']"
бирж_ADJF,[]
перцип_PRTF,[]
упраздн_INFN,[]
пек_INFN,"['при', 'вы', 'под', 'до', 'у', 'от', 'рас', 'за', 'с', 'на', 'пере', 'про', 'не', 'в', 'о']"
год_ADJF,"['у', 'при', 'по', 'за', 'про', 'не', 'пред', 'вы']"
пах_ADJF,"['под', 'пред']"
колб_NOUN,[]
земель_ADJF,"['без', 'по']"
сигнал_NOUN,[]
тепл_NOUN,"['о', 'у', 'по']"
туш_NOUN,['при']
мк_INFN,"['за', 'со', 'при', 'ото', 'разо']"
троп_NOUN,['изо']
пад_ADJF,"['по', 'у', 'за']"
масс_ADJF,"['по', 'у']"
анем_NOUN,[]
зодиак_ADJF,[]
иерей_ADJF,['прото']
каландр_INFN,[]
стипенди_NOUN,[]
вруч_PRTF,[]
стой_ADJF,"['от', 'у', 'по', 'за', 'из', 'не', 'под', 'квази', 'про', 'анти', 'на', 'о', 'до', 'при']"
безображ_NOUN,['о']
мст_INFN,"['ото', 'от']"
пущ_ADVB,[]
хозяй_INFN,"['за', 'по', 'до', 'на']"
варвар_ADJF,[]
трансформ_PRTF,[]
агар_NOUN,[]
печат_ADJF,"['не', 'рас', 'за', 'на']"
обещ_INFN,"['по', 'на']"
тавот_NOUN,[]
выс_INFN,"['по', 'воз', 'пре', 'под', 'за']"
ту_ADJF,[]
ум_ADJF,"['не', 'раз', 'за', 'без', 'в', 'пре', 'до']"
греб_PRTF,"['от', 'с', 'при', 'пере', 'о', 'вы', 'раз', 'на', 'до', 'под', 'за']"
слащ_PRTF,"['на', 'у', 'под', 'по', 'пере', 'за']"
ход_ADJF,"['при', 'нис', 'про', 'рас', 'не', 'на', 'под', 'пере', 'в', 'пре', 'об', 'ис', 'вос', 'с', 'от', 'без', 'ыс', 'из', 'пред', 'вы', 'за', 'до', 'по']"
наш_NOUN,"['из', 'не', 'до', 'вы', 'об', 'пере', 'раз']"
воплот_INFN,['пере']
центр_INFN,"['с', 'де', 'за', 'кон']"
казн_NOUN,[]
степен_PRTF,['о']
пар_INFN,"['рас', 'при', 'пере', 'ис', 'с', 'под', 'от', 'над', 'на', 'вс', 'у', 'вы', 'до', 'вос', 'про', 'по', 'за']"
жил_ADJF,"['в', 'про', 'по']"
спас_INFN,[]
шв_ADJF,[]
шаг_INFN,"['по', 'до', 'вы', 'пере', 'при', 'от', 'за']"
брач_ADJF,"['вне', 'до', 'без', 'после']"
сид_ADJF,"['не', 'у']"
бубон_NOUN,[]
дистанци_NOUN,[]
лез_INFN,"['под', 'вы', 'раз', 'при', 'от', 'об', 'вз', 'в', 'до', 'за', 'на', 'не', 'пере', 'по', 'про', 'с']"
руг_INFN,"['до', 'по', 'пере', 'из', 'от', 'раз', 'над', 'на', 'вы', 'об']"
тес_INFN,"['о', 'под', 'об', 'про', 'ис', 'над', 'у', 'от', 'при', 'на', 'рас', 'в', 'с', 'вы', 'пере', 'за', 'по']"
аммон_NOUN,[]
лог_ADJF,"['микро', 'раз', 'о', 'а', 'ото', 'от', 'не', 'у', 'за', 'на', 'с']"
ступ_NOUN,"['не', 'при', 'от', 'под', 'вы', 'про', 'за', 'по', 'пре', 'у']"
мост_INFN,"['вз', 'вы', 'при', 'до', 'под', 'пере', 'за', 'про', 'у', 'на']"
ковш_ADJF,[]
лист_ADJF,"['у', 'с', 'без', 'об']"
люб_INFN,"['с', 'на', 'в', 'за', 'не', 'вз', 'об', 'раз', 'от', 'воз', 'по']"
подвиж_ADJF,[]
приют_NOUN,[]
пик_NOUN,[]
мыл_INFN,"['под', 'на', 'об', 'вы', 'вз', 'пере', 'из', 'по']"
пин_INFN,"['в', 'за']"
сфер_NOUN,"['экзо', 'у']"
чересчур_ADVB,[]
тираж_INFN,['рас']
сеньор_NOUN,[]
нов_ADJF,"['об', 'ин', 'не']"
сейсм_ADJF,"['а', 'микро', 'анти']"
брюзг_ADJF,['о']
истреб_ADJF,['не']
пелен_INFN,"['пере', 'у', 'с', 'за', 'рас']"
сульф_NOUN,['би']
лущ_NOUN,['вы']
цивил_ADJF,[]
прост_ADJF,"['не', 'о']"
реч_ADJF,"['при', 'не', 'из', 'на']"
шир_INFN,"['у', 'рас']"
печал_INFN,"['по', 'за', 'о']"
гиб_ADJF,"['по', 'из', 'под', 'при', 'за', 'не', 'с']"
фанат_NOUN,[]
коагул_NOUN,"['анти', 'диа']"
грыз_INFN,"['о', 'из', 'у', 'об', 'за', 'раз', 'до', 'по', 'вы', 'про', 'над', 'с', 'пере', 'на', 'в', 'от', 'под', 'не']"
шлеп_INFN,"['по', 'при', 'об', 'от', 'на', 'рас']"
стрек_INFN,"['о', 'об']"
ос_ADJF,"['без', 'со', 'о']"
мат_NOUN,"['пере', 'под', 'диа', 'об', 'от', 'на', 'с', 'вы', 'раз']"
марин_PRTF,"['про', 'на', 'за']"
медуз_NOUN,[]
тяж_ADVB,"['в', 'на', 'вы', 'за']"
гуд_VERB,[]
канюч_INFN,"['вы', 'по']"
хлоп_PRTF,"['на', 'от', 'про', 'у', 'при', 'за', 'по', 'пере', 'об', 'вы']"
кро_ADJF,['за']
курган_NOUN,[]
клякс_NOUN,[]
жен_ADJF,['не']
двор_NOUN,"['при', 'за', 'во', 'вы']"
ник_PRTF,"['про', 'по', 'при', 'с', 'в']"
чес_INFN,"['от', 'о', 'вы', 'рас', 'под', 'на', 'об', 'у', 'при', 'по', 'за', 'с', 'до', 'пере', 'про', 'в', 'не']"
лоб_NOUN,"['на', 'вз']"
кашемир_NOUN,[]
азям_VERB,[]
журавл_NOUN,[]
говор_PRTF,"['под', 'на', 'пере', 'о', 'с', 'вы', 'у', 'за', 'об', 'до', 'от', 'при', 'раз']"
предприня_PRTF,[]
крещ_INFN,"['вы', 'от', 'с', 'пере']"
би_PRTF,"['от', 'по', 'с', 'вз', 'над', 'под']"
дешев_INFN,"['по', 'у', 'про']"
сып_NOUN,"['не', 'до', 'с', 'рас', 'при', 'на', 'под', 'от', 'у', 'о', 'за', 'пере', 'об', 'по', 'в', 'вы', 'про']"
классич_ADJF,[]
влад_INFN,"['со', 'о', 'за']"
аморт_NOUN,[]
ненавист_NOUN,[]
лент_NOUN,['изо']
полз_ADJF,['о']
пикантн_NOUN,[]
вороб_NOUN,[]
поступ_ADJF,['воз']
парцелл_NOUN,[]
вал_NOUN,"['за', 'раз', 'от', 'под', 'об', 'на', 'пере', 'с', 'у', 'по', 'вы', 'не', 'при', 'в', 'вз', 'про']"
тер_INFN,"['у', 'ис', 'за', 'по', 'вы', 'при', 'о', 'рас', 'на', 'до', 'с', 'под', 'об', 'от', 'в', 'пере', 'про']"
фуляр_NOUN,[]
проповеда_INFN,[]
рез_ADJF,"['об', 'на', 'с', 'у', 'при', 'раз', 'не', 'в', 'диа', 'про', 'под', 'от', 'из', 'до']"
пре_INFN,"['пере', 'до', 'по', 'со', 'под', 'подо', 'про', 'разо', 'взо', 'вы', 'у', 'ото', 'на', 'о']"
конквистадор_NOUN,[]
бронз_NOUN,[]
квадр_ADJF,[]
мощь_NOUN,"['по', 'не']"
курс_NOUN,"['со', 'ре']"
игр_NOUN,"['контр', 'на', 'про', 'вы', 'пере', 'до']"
клеп_NOUN,"['под', 'вы', 'при', 'с', 'в', 'рас', 'на', 'за', 'от', 'по']"
эдр_NOUN,['до']
кус_INFN,"['над', 'под', 'об', 'от', 'пере', 'ис', 'на', 'за', 'при', 'про', 'с', 'вы', 'по', 'в', 'рас', 'у']"
колд_ADJF,['за']
транспарант_ADJF,[]
суш_NOUN,"['вы', 'при', 'под', 'о', 'об', 'пере', 'у', 'за', 'про']"
рощ_ADJF,['про']
меч_PRTF,"['от', 'на', 'при', 'до', 'по', 'раз', 'пере', 'вы', 'за', 'под']"
аполог_NOUN,[]
сел_PRTF,"['рас', 'пере', 'на', 'при', 'в', 'за', 'вы', 'с', 'от', 'под', 'по']"
фонарь_NOUN,[]
власт_ADJF,"['под', 'не', 'без']"
голуб_ADJF,"['ис', 'из']"
мешоч_NOUN,[]
гряз_INFN,"['за', 'из', 'пере', 'на', 'по']"
служ_INFN,"['об', 'за', 'про', 'от', 'до', 'вы', 'под', 'при', 'у', 'со', 'по', 'на']"
утиль_ADJF,[]
